,Name,FighterHeight,FighterWeight,FighterDOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,ScoreStrAcc,ScoreStrDef,ScoreTDAcc,ScoreTDDef,CombatScore
0,Hunter Azure,"5' 8""",145 lbs.,"Mar 02, 1992",3.92,53%,2.08,58%,1.97,34%,67%,1.3,53.0,58.0,34.0,67.0,38.910000000000004
1,Luciano Azevedo,"6' 3""",161 lbs.,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0,45.0,27.0,11.0,0.0,9.09
2,Luiz Azeredo,"5' 9""",154 lbs.,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3,39.0,57.0,50.0,45.0,19.910000000000004
3,Ottman Azaitar,"5' 8""",155 lbs.,"Feb 20, 1990",6.97,54%,2.63,63%,0.0,0%,100%,0.0,54.0,63.0,0.0,100.0,43.4
4,Abu Azaitar,"5' 9""",185 lbs.,"Mar 10, 1986",5.21,44%,5.35,50%,0.5,25%,40%,0.0,44.0,50.0,25.0,40.0,16.700000000000003
5,Jessin Ayari,"6' 0""",155 lbs.,"May 31, 1992",3.53,37%,3.59,58%,0.0,0%,50%,0.3,37.0,58.0,0.0,50.0,14.799999999999999
6,Javy Ayala,"6' 1""",265 lbs.,"Aug 20, 1988",0.83,25%,5.0,33%,0.0,0%,0%,0.0,25.0,33.0,0.0,0.0,-15.05
7,Saad Awad,"5' 11""",155 lbs.,"Jun 07, 1983",2.13,26%,1.87,60%,0.5,16%,100%,0.5,26.0,60.0,16.0,100.0,24.0
8,Julia Avila,"5' 7""",135 lbs.,"May 11, 1988",3.18,44%,2.86,55%,0.67,33%,61%,0.3,44.0,55.0,33.0,61.0,23.51
9,Chris Avila,"5' 10""",145 lbs.,"Jan 16, 1993",2.37,30%,4.17,48%,0.0,0%,46%,0.0,30.0,48.0,0.0,46.0,3.3999999999999995
10,Anthony Avila,"5' 7""",145 lbs.,"ec 29, 1988",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
11,Levi Avera,"6' 1""",170 lbs.,"May 17, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
12,Blas Avena,"6' 0""",170 lbs.,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8,47.0,43.0,80.0,50.0,27.61
13,David Avellan,"5' 9""",185 lbs.,--,3.33,25%,10.0,57%,0.0,0%,0%,0.0,25.0,57.0,0.0,0.0,-25.150000000000002
14,Marcus Aurelio,"5' 10""",155 lbs.,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3,33.0,59.0,27.0,27.0,18.02
15,Jose Augusto,"6' 3""",251 lbs.,"Mar 28, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
16,Pat Audinwood,"6' 0""",155 lbs.,"Apr 16, 1986",1.17,12%,4.31,41%,0.8,50%,0%,0.0,12.0,41.0,50.0,0.0,-2.9999999999999982
17,Olivier Aubin-Mercier,"5' 9""",155 lbs.,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5,51.0,55.0,33.0,70.0,26.529999999999998
18,Rich Attonito,"5' 10""",170 lbs.,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0,47.0,59.0,37.0,75.0,24.77
19,Bazigit Atajev,"6' 1""",230 lbs.,--,0.87,41%,3.14,49%,1.0,33%,0%,0.0,41.0,49.0,33.0,0.0,3.9499999999999984
20,Raphael Assuncao,"5' 5""",135 lbs.,"Jul 19, 1982",3.24,41%,2.41,67%,1.47,38%,78%,0.3,41.0,67.0,38.0,78.0,31.560000000000002
21,Junior Assuncao,"5' 9""",145 lbs.,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7,62.0,44.0,24.0,66.0,34.54
22,Bruno Assis,"6' 2""",185 lbs.,"May 23, 1992",1.27,43%,3.2,36%,2.0,50%,66%,1.0,43.0,36.0,50.0,66.0,17.85
23,Tom Aspinall,"6' 5""",256 lbs.,"Apr 11, 1993",7.41,65%,2.87,64%,4.0,100%,100%,2.0,65.0,64.0,100.0,100.0,71.6
24,Ibo Aslan,"6' 3""",205 lbs.,"Apr 23, 1996",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
25,Ben Askren,"5' 11""",170 lbs.,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9,49.0,36.0,55.0,0.0,18.689999999999998
26,Scott Askham,"6' 3""",185 lbs.,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7,46.0,52.0,18.0,65.0,18.369999999999997
27,Khusein Askhabov,"5' 8""",135 lbs.,"Feb 13, 1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
28,Cyril Asker,"6' 0""",247 lbs.,"ec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9,39.0,35.0,62.0,100.0,26.279999999999998
29,Askar Askarov,"5' 6""",125 lbs.,"ct 09, 1992",3.05,54%,2.8,57%,2.6,24%,66%,0.4,54.0,57.0,24.0,66.0,29.950000000000003
30,Askar Askar,"5' 7""",145 lbs.,"Aug 19, 1994",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
31,Asjabharan,"5' 6""",135 lbs.,"Jul 31, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
32,Yanal Ashmoz,--,155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
33,Arman Ashimov,"5' 6""",125 lbs.,"Jan 14, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
34,Teddy Ash,"6' 1""",185 lbs.,"ec 27, 1989",7.27,61%,6.8,28%,0.0,0%,100%,0.0,61.0,28.0,0.0,100.0,21.249999999999993
35,Cesar Arzamendia,"5' 11""",155 lbs.,"Jan 31, 1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4,45.0,56.0,75.0,0.0,45.21
36,Veta Arteaga,"5' 7""",125 lbs.,--,3.2,36%,1.92,65%,0.0,0%,40%,0.0,36.0,65.0,0.0,40.0,20.5
37,Gilles Arsene,"5' 9""",190 lbs.,--,0.06,10%,2.45,32%,0.0,0%,0%,0.0,10.0,32.0,0.0,0.0,-7.749999999999999
38,Antonio Arroyo,"6' 3""",185 lbs.,"Jul 01, 1989",2.82,66%,2.02,50%,1.14,41%,41%,0.2,66.0,50.0,41.0,41.0,27.620000000000005
39,Matt Arroyo,"5' 10""",170 lbs.,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3,47.0,58.0,36.0,100.0,39.11000000000001
40,Akbarh Arreola,"5' 10""",155 lbs.,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4,45.0,56.0,100.0,33.0,18.96
41,Chalid Arrab,"5' 11""",205 lbs.,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0,34.0,56.0,75.0,37.0,31.0
42,Ricardo Arona,"5' 11""",205 lbs.,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2,48.0,57.0,48.0,58.0,33.28
43,Austin Arnett,"6' 0""",145 lbs.,"ct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2,41.0,62.0,18.0,57.0,10.22
44,Joey Armstrong,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
45,Garrett Armfield,"5' 6""",135 lbs.,"ct 09, 1996",2.56,29%,3.53,59%,0.0,0%,66%,0.0,29.0,59.0,0.0,66.0,10.550000000000002
46,Andrei Arlovski,"6' 3""",240 lbs.,"Feb 04, 1979",3.79,45%,3.2,57%,0.4,36%,76%,0.2,45.0,57.0,36.0,76.0,25.950000000000003
47,Hashem Arkhagha,"6' 2""",185 lbs.,"Sep 11, 1989",1.84,44%,8.97,43%,0.0,0%,50%,0.0,44.0,43.0,0.0,50.0,-21.95
48,Dan Argueta,"5' 7""",145 lbs.,"Aug 13, 1993",1.8,45%,2.13,39%,1.0,33%,50%,0.0,45.0,39.0,33.0,50.0,18.05
49,Tristan Arenal,--,155 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
50,Art Arciniega,"5' 8""",145 lbs.,"ct 15, 1981",1.53,46%,2.73,51%,0.0,0%,50%,1.0,46.0,51.0,0.0,50.0,10.7
51,Julio Arce,"5' 7""",135 lbs.,"ct 27, 1989",4.38,36%,3.1,68%,0.49,30%,95%,0.4,36.0,68.0,30.0,95.0,31.569999999999997
52,Viviane Araujo,"5' 4""",125 lbs.,"Nov 21, 1986",4.82,48%,5.33,56%,2.03,48%,90%,0.5,48.0,56.0,48.0,90.0,28.740000000000006
53,Igor Araujo,"6' 1""",170 lbs.,"ec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6,42.0,49.0,15.0,22.0,9.880000000000003
54,Felipe Arantes,"5' 8""",135 lbs.,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7,45.0,64.0,47.0,41.0,22.44
55,Romie Aram,"5' 10""",170 lbs.,"ec 02, 1977",1.8,35%,2.83,50%,2.5,62%,83%,0.0,35.0,50.0,62.0,83.0,25.349999999999998
56,Kenji Arai,"5' 10""",145 lbs.,"ct 05, 1979",8.79,27%,10.29,39%,0.0,0%,0%,0.0,27.0,39.0,0.0,0.0,-0.8999999999999999
57,Erik Apple,"6' 0""",170 lbs.,"Aug 26, 1977",0.0,0%,0.54,81%,0.0,0%,0%,8.1,0.0,81.0,0.0,0.0,21.6
58,Josh Appelt,"5' 10""",255 lbs.,"Jun 19, 1983",1.35,40%,11.5,32%,0.0,0%,33%,0.0,40.0,32.0,0.0,33.0,-40.25
59,Aoriqileng,"5' 7""",135 lbs.,"Jun 25, 1993",6.07,48%,7.18,48%,1.57,45%,55%,0.0,48.0,48.0,45.0,55.0,18.76
60,Shinya Aoki,"5' 11""",154 lbs.,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0,58.0,58.0,41.0,60.0,35.92
61,Shinsho Anzai,"5' 7""",170 lbs.,"ec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,58.0,45.0,16.0,75.0,22.29
62,Azunna Anyanwu,"6' 1""",251 lbs.,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0,42.0,69.0,100.0,0.0,23.05
63,Angelo Antonio,--,205 lbs.,--,1.09,50%,7.64,50%,0.0,0%,0%,0.0,50.0,50.0,0.0,0.0,-22.749999999999993
64,Adam Antolin,"5' 5""",125 lbs.,"Feb 28, 1982",5.73,52%,5.0,69%,0.0,0%,100%,0.0,52.0,69.0,0.0,100.0,25.75
65,Gadzhimurad Antigulov,"5' 11""",205 lbs.,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4,55.0,40.0,36.0,0.0,20.490000000000002
66,Magomed Ankalaev,"6' 3""",205 lbs.,"Jun 02, 1992",3.64,54%,2.14,60%,0.94,33%,86%,0.0,54.0,60.0,33.0,86.0,33.62
67,Yoji Anjo,"5' 11""",205 lbs.,"Mar 28, 1967",0.0,0%,3.13,25%,0.0,0%,0%,0.0,0.0,25.0,0.0,0.0,-13.149999999999999
68,Chad Anheliger,"5' 6""",135 lbs.,"ec 01, 1986",3.51,43%,3.31,55%,0.0,0%,47%,1.0,43.0,55.0,0.0,47.0,17.499999999999996
69,Collin Anglin,"5' 9""",145 lbs.,"Feb 20, 1993",4.59,48%,5.54,51%,2.28,66%,100%,0.0,48.0,51.0,66.0,100.0,28.589999999999996
70,Julius Anglickas,"6' 3""",205 lbs.,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1,78.0,50.0,50.0,60.0,53.21
71,Angga,"5' 7""",145 lbs.,"Jan 13, 1989",3.56,38%,3.77,53%,0.0,0%,33%,0.0,38.0,53.0,0.0,33.0,11.349999999999998
72,Reese Andy,"6' 0""",205 lbs.,"Mar 31, 1973",2.87,50%,3.5,58%,0.67,20%,40%,0.0,50.0,58.0,20.0,40.0,15.660000000000002
73,Dylan Andrews,"6' 1""",185 lbs.,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4,50.0,46.0,50.0,57.0,27.039999999999996
74,Juan Andres Luna,"5' 7""",125 lbs.,"Aug 20, 1995",3.27,31%,3.0,65%,0.0,0%,0%,0.0,31.0,65.0,0.0,0.0,10.950000000000001
75,Jermaine Andre,"5' 7""",200 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
76,Viscardi Andrade,"5' 11""",170 lbs.,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3,42.0,63.0,50.0,66.0,30.939999999999998
77,Jessica Andrade,"5' 1""",125 lbs.,"Sep 25, 1991",6.16,50%,5.16,53%,2.85,55%,66%,0.5,50.0,53.0,55.0,66.0,36.95
78,Alex Andrade,"5' 11""",200 lbs.,"May 14, 1974",0.2,36%,2.6,53%,0.0,0%,25%,0.8,36.0,53.0,0.0,25.0,0.9999999999999991
79,Tatsuya Ando,--,135 lbs.,"Apr 26, 1990",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
80,Megan Anderson,"6' 0""",145 lbs.,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,46.0,37.0,25.0,53.0,10.71
81,Derek Anderson,"6' 0""",155 lbs.,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0,37.0,61.0,14.0,60.0,22.67
82,Corey Anderson,"6' 3""",205 lbs.,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,46.0,59.0,50.0,83.0,49.519999999999996
83,Lowell Anderson,"5' 6""",160 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
84,Andy Anderson,"5' 6""",240 lbs.,"Jul 16, 1974",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
85,Matt Andersen,"6' 2""",230 lbs.,"May 29, 1971",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
86,Eryk Anders,"6' 1""",185 lbs.,"Apr 21, 1987",3.26,47%,4.2,50%,1.57,25%,75%,0.1,47.0,50.0,25.0,75.0,19.909999999999997
87,Karl Amoussou,"5' 11""",185 lbs.,"Nov 21, 1985",1.47,34%,2.67,54%,0.0,0%,25%,1.0,34.0,54.0,0.0,25.0,7.300000000000001
88,Bertrand Amoussou,"5' 8""",190 lbs.,--,6.75,39%,2.01,83%,0.0,0%,0%,0.0,39.0,83.0,0.0,0.0,35.900000000000006
89,Jaqueline Amorim,"5' 3""",115 lbs.,"Jun 24, 1995",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
90,Makwan Amirkhani,"5' 10""",145 lbs.,"Nov 08, 1988",1.35,44%,2.98,46%,4.15,43%,38%,1.1,44.0,46.0,43.0,38.0,23.6
91,Alen Amedovski,"5' 10""",185 lbs.,"Apr 06, 1988",0.99,30%,3.85,46%,0.0,0%,0%,0.0,30.0,46.0,0.0,0.0,-6.700000000000001
92,JJ Ambrose,"5' 10""",170 lbs.,--,3.16,69%,6.32,33%,0.0,0%,50%,0.0,69.0,33.0,0.0,50.0,-0.6000000000000005
93,Jimmy Ambriz,"6' 2""",315 lbs.,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8,29.0,40.0,57.0,100.0,18.94
94,Chris Amarante,--,185 lbs.,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
95,Rayanne Amanda,"5' 2""",115 lbs.,"Jun 08, 1995",3.67,31%,6.87,57%,1.0,25%,0%,0.0,31.0,57.0,25.0,0.0,-1.7000000000000002
96,Maiara Amanajas dos Santos,"5' 5""",115 lbs.,"Jul 11, 1987",5.53,35%,24.47,33%,0.0,0%,100%,0.0,35.0,33.0,0.0,100.0,-77.89999999999999
97,Adlan Amagov,"6' 2""",170 lbs.,"ct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0,47.0,78.0,56.0,100.0,57.97
98,Andre Amado,"6' 0""",154 lbs.,--,2.27,24%,5.91,63%,0.0,0%,20%,0.0,24.0,63.0,0.0,20.0,-7.5000000000000036
99,Sam Alvey,"6' 2""",185 lbs.,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1,44.0,52.0,14.0,82.0,17.83
100,Rafael Alves,"5' 8""",155 lbs.,"Nov 14, 1990",2.46,50%,4.14,58%,0.41,25%,60%,1.2,50.0,58.0,25.0,60.0,14.530000000000001
101,Warlley Alves,"5' 11""",170 lbs.,"Jan 04, 1991",3.07,48%,3.63,51%,1.42,52%,78%,1.1,48.0,51.0,52.0,78.0,26.56
102,Amilcar Alves,"6' 0""",170 lbs.,"Aug 08, 1988",0.5,46%,2.02,30%,0.0,0%,53%,0.0,46.0,30.0,0.0,53.0,5.3
103,Anthony Alves,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0
104,Thiago Alves,"5' 9""",170 lbs.,"ct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3,41.0,62.0,60.0,63.0,26.879999999999995
